Team,Season,Games Played,Points For,Goals For,Goals Against,Goal Difference,Goal Ratio,Total Shots For,Total Shots Against,Shot Difference,Total Shot Ratio,Shots on Target For,Shots on Target Against,Shots on Target Difference,Shots on Target Ratio,Shots For Per Game,Shots Against Per Game,Shots on Target For Per Game ,Shots on Target Against Per Game,Goals For Per Game,Goals  Against Per Game
Arsenal,2006/2007,38,68,63,35,28,0.642857143,638,394,244,0.618217054,226,130,96,0.634831461,16.78947368,10.36842105,5.947368421,3.421052632,1.657894737,0.921052632
Aston Villa,2006/2007,38,50,43,41,2,0.511904762,470,512,-42,0.478615071,154,146,8,0.513333333,12.36842105,13.47368421,4.052631579,3.842105263,1.131578947,1.078947368
Blackburn Rovers,2006/2007,38,52,52,54,-2,0.490566038,478,535,-57,0.471865745,155,214,-59,0.420054201,12.57894737,14.07894737,4.078947368,5.631578947,1.368421053,1.421052632
Bolton Wanderers,2006/2007,38,56,47,52,-5,0.474747475,404,500,-96,0.446902655,120,168,-48,0.416666667,10.63157895,13.15789474,3.157894737,4.421052632,1.236842105,1.368421053
Charlton Athletic,2006/2007,38,34,34,60,-26,0.361702128,418,620,-202,0.402697495,133,196,-63,0.404255319,11,16.31578947,3.5,5.157894737,0.894736842,1.578947368
Chelsea,2006/2007,38,83,64,24,40,0.727272727,636,370,266,0.632206759,216,100,116,0.683544304,16.73684211,9.736842105,5.684210526,2.631578947,1.684210526,0.631578947
Everton,2006/2007,38,58,52,36,16,0.590909091,465,580,-115,0.444976077,153,176,-23,0.465045593,12.23684211,15.26315789,4.026315789,4.631578947,1.368421053,0.947368421
Fulham,2006/2007,38,39,38,60,-22,0.387755102,451,543,-92,0.453722334,142,183,-41,0.436923077,11.86842105,14.28947368,3.736842105,4.815789474,1,1.578947368
Liverpool,2006/2007,38,68,57,27,30,0.678571429,668,309,359,0.683725691,214,101,113,0.679365079,17.57894737,8.131578947,5.631578947,2.657894737,1.5,0.710526316
Manchester City,2006/2007,38,42,29,44,-15,0.397260274,454,456,-2,0.498901099,147,123,24,0.544444444,11.94736842,12,3.868421053,3.236842105,0.763157895,1.157894737
Middlesbrough,2006/2007,38,46,44,49,-5,0.47311828,454,537,-83,0.458123108,144,174,-30,0.452830189,11.94736842,14.13157895,3.789473684,4.578947368,1.157894737,1.289473684
Manchester United,2006/2007,38,89,83,27,56,0.754545455,698,411,287,0.629395852,256,120,136,0.680851064,18.36842105,10.81578947,6.736842105,3.157894737,2.184210526,0.710526316
Newcastle United,2006/2007,38,43,38,47,-9,0.447058824,454,567,-113,0.444662096,140,171,-31,0.450160772,11.94736842,14.92105263,3.684210526,4.5,1,1.236842105
Portsmouth,2006/2007,38,54,45,42,3,0.517241379,525,489,36,0.517751479,186,189,-3,0.496,13.81578947,12.86842105,4.894736842,4.973684211,1.184210526,1.105263158
Reading,2006/2007,38,55,52,47,5,0.525252525,419,556,-137,0.42974359,132,213,-81,0.382608696,11.02631579,14.63157895,3.473684211,5.605263158,1.368421053,1.236842105
Sheffield United,2006/2007,38,38,32,55,-23,0.367816092,483,527,-44,0.478217822,147,175,-28,0.456521739,12.71052632,13.86842105,3.868421053,4.605263158,0.842105263,1.447368421
Tottenham Hotspur,2006/2007,38,60,57,54,3,0.513513514,520,494,26,0.512820513,184,144,40,0.56097561,13.68421053,13,4.842105263,3.789473684,1.5,1.421052632
Watford,2006/2007,38,28,29,59,-30,0.329545455,418,576,-158,0.420523139,135,195,-60,0.409090909,11,15.15789474,3.552631579,5.131578947,0.763157895,1.552631579
West Ham United,2006/2007,38,41,35,59,-24,0.372340426,461,576,-115,0.444551591,134,186,-52,0.41875,12.13157895,15.15789474,3.526315789,4.894736842,0.921052632,1.552631579
Wigan Athletic FC,2006/2007,38,38,37,59,-22,0.385416667,474,436,38,0.520879121,147,161,-14,0.477272727,12.47368421,11.47368421,3.868421053,4.236842105,0.973684211,1.552631579
Arsenal,2007/2008,38,83,74,31,43,0.704761905,627,409,218,0.605212355,208,126,82,0.622754491,16.5,10.76315789,5.473684211,3.315789474,1.947368421,0.815789474
Aston Villa,2007/2008,38,60,71,51,20,0.581967213,511,523,-12,0.494197292,182,145,37,0.556574924,13.44736842,13.76315789,4.789473684,3.815789474,1.868421053,1.342105263
Blackburn Rovers,2007/2008,38,58,50,48,2,0.510204082,530,484,46,0.522682446,185,176,9,0.512465374,13.94736842,12.73684211,4.868421053,4.631578947,1.315789474,1.263157895
Birmingham City,2007/2008,38,35,46,62,-16,0.425925926,414,628,-214,0.39731286,143,213,-70,0.401685393,10.89473684,16.52631579,3.763157895,5.605263158,1.210526316,1.631578947
Bolton Wanderers,2007/2008,38,37,36,54,-18,0.4,451,535,-84,0.457403651,149,171,-22,0.465625,11.86842105,14.07894737,3.921052632,4.5,0.947368421,1.421052632
Chelsea,2007/2008,38,85,65,26,39,0.714285714,605,436,169,0.58117195,199,121,78,0.621875,15.92105263,11.47368421,5.236842105,3.184210526,1.710526316,0.684210526
Derby County,2007/2008,38,11,20,89,-69,0.183486239,376,629,-253,0.374129353,116,234,-118,0.331428571,9.894736842,16.55263158,3.052631579,6.157894737,0.526315789,2.342105263
Everton,2007/2008,38,65,55,33,22,0.625,474,489,-15,0.492211838,169,131,38,0.563333333,12.47368421,12.86842105,4.447368421,3.447368421,1.447368421,0.868421053
Fulham,2007/2008,38,36,38,60,-22,0.387755102,469,560,-91,0.455782313,154,200,-46,0.435028249,12.34210526,14.73684211,4.052631579,5.263157895,1,1.578947368
Liverpool,2007/2008,38,76,67,28,39,0.705263158,686,339,347,0.669268293,214,87,127,0.710963455,18.05263158,8.921052632,5.631578947,2.289473684,1.763157895,0.736842105
Manchester City,2007/2008,38,55,45,53,-8,0.459183673,423,577,-154,0.423,143,199,-56,0.418128655,11.13157895,15.18421053,3.763157895,5.236842105,1.184210526,1.394736842
Manchester United,2007/2008,38,87,80,22,58,0.784313725,696,430,266,0.618117229,260,130,130,0.666666667,18.31578947,11.31578947,6.842105263,3.421052632,2.105263158,0.578947368
Middlesbrough,2007/2008,38,42,43,53,-10,0.447916667,499,512,-13,0.493570722,152,152,0,0.5,13.13157895,13.47368421,4,4,1.131578947,1.394736842
Newcastle United,2007/2008,38,43,45,65,-20,0.409090909,481,556,-75,0.463837994,153,191,-38,0.444767442,12.65789474,14.63157895,4.026315789,5.026315789,1.184210526,1.710526316
Portsmouth,2007/2008,38,57,48,40,8,0.545454545,559,527,32,0.514732965,160,188,-28,0.459770115,14.71052632,13.86842105,4.210526316,4.947368421,1.263157895,1.052631579
Reading,2007/2008,38,36,41,66,-25,0.38317757,441,613,-172,0.418406072,132,221,-89,0.373937677,11.60526316,16.13157895,3.473684211,5.815789474,1.078947368,1.736842105
